|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00055  |         ngai woiye ngai |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00056  |                 in fact |       2 |       1 |      29 |       1 |    -0.3090 |   0.00081 |    0.500 |
         KW202-00057  |              mbili hivi |       4 |       3 |      23 |       1 |     0.1083 |   0.00064 |    0.250 |
         KW202-00058  |               mke wangu |       2 |       2 |      17 |       0 |     0.5257 |   0.00047 |    0.000 |
         KW202-00059  |         kakakaa kakakaa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00060  |                 unanona |       1 |       1 |      24 |       0 |     0.3305 |   0.00067 |    0.000 |
         KW202-00061  |             nishamaliza |       1 |       1 |      24 |       0 |     0.3305 |   0.00067 |    0.000 |
         KW202-00062  |                  robert |       1 |       0 |      46 |       1 |    -1.2833 |   0.00128 |    1.000 |
         KW202-00063  |                 station |       3 |       3 |      34 |       0 |     0.0514 |   0.00095 |    0.000 |
         KW202-00064  |                  anaota |       1 |       0 |      28 |       1 |    -0.7811 |   0.00078 |    1.000 |
         KW202-00065  |             tulete fujo |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00066  |                  bahati |       8 |       8 |      99 |       0 |    -1.7624 |   0.00276 |    0.000 |
         KW202-00067  |               kumsaidia |       1 |       1 |      46 |       0 |    -0.2833 |   0.00128 |    0.000 |
         KW202-00068  |           papa jay live |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00069  |    kusema kwamba i am a |         |         |         |         |            |           |          |
         KW202-00070  |               nijipange |       1 |       0 |      41 |       1 |    -1.1438 |   0.00114 |    1.000 |
         KW202-00071  |               wanapeana |       1 |       0 |      36 |       1 |    -1.0043 |   0.00100 |    1.000 |
         KW202-00072  |                ametulia |       1 |       1 |      21 |       0 |     0.4142 |   0.00059 |    0.000 |
         KW202-00073  |                  anazaa |       1 |       1 |      93 |       0 |    -1.5945 |   0.00259 |    0.000 |
         KW202-00074  |             kabla uanze |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00075  |               ina shida |       2 |       2 |      38 |       0 |    -0.0601 |   0.00106 |    0.000 |
         KW202-00076  |                 kibarua |       1 |       1 |      34 |       0 |     0.0515 |   0.00095 |    0.000 |
         KW202-00077  |              namba yako |       2 |       2 |      26 |       0 |     0.2746 |   0.00073 |    0.000 |
         KW202-00078  |               bei nafuu |       1 |       1 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00079  |         nikupatie namba |       2 |       1 |       3 |       1 |     0.4163 |   0.00008 |    0.500 |
         KW202-00080  |                 unamjua |       1 |       1 |      63 |       0 |    -0.7575 |   0.00176 |    0.000 |
         KW202-00081  |           usiweke sheng |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00082  |               suluhisho |       1 |       1 |      38 |       0 |    -0.0601 |   0.00106 |    0.000 |
         KW202-00083  |              wenga fans |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00084  |               ungetumia |       1 |       1 |      19 |       0 |     0.4699 |   0.00053 |    0.000 |
         KW202-00085  |                 umepata |       7 |       7 |      74 |       0 |    -1.0648 |   0.00206 |    0.000 |
         KW202-00086  |                   balaa |       1 |       1 |     142 |       0 |    -2.9614 |   0.00396 |    0.000 |
         KW202-00087  |               kinatokea |       1 |       1 |      11 |       0 |     0.6931 |   0.00031 |    0.000 |
         KW202-00088  |             katika njia |       1 |       1 |       7 |       0 |     0.8047 |   0.00020 |    0.000 |
         KW202-00089  |                 obvious |       2 |       1 |      65 |       1 |    -1.3134 |   0.00181 |    0.500 |
