|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00055  |         ngai woiye ngai |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00056  |                 in fact |       2 |       1 |      28 |       1 |   -0.2812 |   0.00078 |    0.500 |
         KW202-00057  |              mbili hivi |       4 |       3 |      23 |       1 |    0.1083 |   0.00064 |    0.250 |
         KW202-00058  |               mke wangu |       2 |       2 |      14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00059  |         kakakaa kakakaa |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00060  |                 unanona |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00061  |             nishamaliza |       1 |       1 |      21 |       0 |    0.4142 |   0.00059 |    0.000 |
         KW202-00062  |                  robert |       1 |       0 |      39 |       1 |   -1.0880 |   0.00109 |    1.000 |
         KW202-00063  |                 station |       3 |       3 |      29 |       0 |    0.1909 |   0.00081 |    0.000 |
         KW202-00064  |                  anaota |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00065  |             tulete fujo |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00066  |                  bahati |       8 |       8 |      79 |       0 |   -1.2043 |   0.00220 |    0.000 |
         KW202-00067  |               kumsaidia |       1 |       1 |      33 |       0 |    0.0794 |   0.00092 |    0.000 |
         KW202-00068  |           papa jay live |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00069  |    kusema kwamba i am a |         |         |         |         |           |           |          |
         KW202-00070  |               nijipange |       1 |       0 |      32 |       1 |   -0.8927 |   0.00089 |    1.000 |
         KW202-00071  |               wanapeana |       1 |       0 |      30 |       1 |   -0.8369 |   0.00084 |    1.000 |
         KW202-00072  |                ametulia |       1 |       1 |      20 |       0 |    0.4421 |   0.00056 |    0.000 |
