|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00055  |         ngai woiye ngai |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00056  |                 in fact |       2 |       1 |       6 |       1 |     0.3326 |   0.00017 |    0.500 |
         KW202-00057  |              mbili hivi |       4 |       3 |       7 |       1 |     0.5547 |   0.00020 |    0.250 |
         KW202-00058  |               mke wangu |       2 |       2 |       4 |       0 |     0.8884 |   0.00011 |    0.000 |
         KW202-00059  |         kakakaa kakakaa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00060  |                 unanona |       1 |       1 |      24 |       0 |     0.3305 |   0.00067 |    0.000 |
         KW202-00061  |             nishamaliza |       1 |       1 |       7 |       0 |     0.8047 |   0.00020 |    0.000 |
         KW202-00062  |                  robert |       1 |       0 |       7 |       1 |    -0.1953 |   0.00020 |    1.000 |
         KW202-00063  |                 station |       3 |       2 |      16 |       1 |     0.2203 |   0.00045 |    0.333 |
         KW202-00064  |                  anaota |       1 |       0 |      29 |       1 |    -0.8090 |   0.00081 |    1.000 |
         KW202-00065  |             tulete fujo |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00066  |                  bahati |       8 |       7 |      65 |       1 |    -0.9387 |   0.00181 |    0.125 |
         KW202-00067  |               kumsaidia |       1 |       1 |      31 |       0 |     0.1352 |   0.00086 |    0.000 |
         KW202-00068  |           papa jay live |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00069  |    kusema kwamba i am a |         |         |         |         |            |           |          |
         KW202-00070  |               nijipange |       1 |       0 |      24 |       1 |    -0.6695 |   0.00067 |    1.000 |
         KW202-00071  |               wanapeana |       1 |       0 |      19 |       1 |    -0.5301 |   0.00053 |    1.000 |
