|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00055  |         ngai woiye ngai |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00056  |                 in fact |       2 |       2 |      58 |       0 |   -0.6181 |   0.00162 |    0.000 |
         KW202-00057  |              mbili hivi |       4 |       4 |      41 |       0 |   -0.1439 |   0.00114 |    0.000 |
         KW202-00058  |               mke wangu |       2 |       2 |      26 |       0 |    0.2746 |   0.00073 |    0.000 |
         KW202-00059  |         kakakaa kakakaa |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00060  |                 unanona |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00061  |             nishamaliza |       1 |       1 |      36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00062  |                  robert |       1 |       0 |      62 |       1 |   -1.7296 |   0.00173 |    1.000 |
         KW202-00063  |                 station |       3 |       3 |      54 |       0 |   -0.5065 |   0.00151 |    0.000 |
         KW202-00064  |                  anaota |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00065  |             tulete fujo |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00066  |                  bahati |       8 |       8 |     167 |       0 |   -3.6598 |   0.00466 |    0.000 |
         KW202-00067  |               kumsaidia |       1 |       1 |      56 |       0 |   -0.5623 |   0.00156 |    0.000 |
         KW202-00068  |           papa jay live |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00069  |    kusema kwamba i am a |         |         |         |         |           |           |          |
         KW202-00070  |               nijipange |       1 |       1 |      62 |       0 |   -0.7296 |   0.00173 |    0.000 |
         KW202-00071  |               wanapeana |       1 |       0 |      51 |       1 |   -1.4228 |   0.00142 |    1.000 |
         KW202-00072  |                ametulia |       1 |       1 |      30 |       0 |    0.1631 |   0.00084 |    0.000 |
         KW202-00073  |                  anazaa |       1 |       1 |      89 |       0 |   -1.4829 |   0.00248 |    0.000 |
         KW202-00074  |             kabla uanze |       1 |       1 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00075  |               ina shida |       2 |       2 |      53 |       0 |   -0.4786 |   0.00148 |    0.000 |
         KW202-00076  |                 kibarua |       1 |       1 |      47 |       0 |   -0.3112 |   0.00131 |    0.000 |
         KW202-00077  |              namba yako |       2 |       2 |      35 |       0 |    0.0236 |   0.00098 |    0.000 |
         KW202-00078  |               bei nafuu |       1 |       1 |       8 |       0 |    0.7768 |   0.00022 |    0.000 |
         KW202-00079  |         nikupatie namba |       2 |       1 |       2 |       1 |    0.4442 |   0.00006 |    0.500 |
         KW202-00080  |                 unamjua |       1 |       1 |      87 |       0 |   -1.4271 |   0.00243 |    0.000 |
         KW202-00081  |           usiweke sheng |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00082  |               suluhisho |       1 |       1 |      65 |       0 |   -0.8133 |   0.00181 |    0.000 |
         KW202-00083  |              wenga fans |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00084  |               ungetumia |       1 |       1 |      31 |       0 |    0.1352 |   0.00086 |    0.000 |
         KW202-00085  |                 umepata |       7 |       7 |     106 |       0 |   -1.9576 |   0.00296 |    0.000 |
         KW202-00086  |                   balaa |       1 |       1 |     182 |       0 |   -4.0773 |   0.00508 |    0.000 |
         KW202-00087  |               kinatokea |       1 |       1 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00088  |             katika njia |       1 |       1 |       7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00089  |                 obvious |       2 |       2 |      94 |       0 |   -1.6224 |   0.00262 |    0.000 |
         KW202-00090  |                ukicheza |       1 |       1 |      36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00091  |                  chunga |       2 |       1 |      95 |       1 |   -2.1503 |   0.00265 |    0.500 |
         KW202-00092  |           nai bahatisha |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00093  |            nitakusaidia |       1 |       1 |      25 |       0 |    0.3026 |   0.00070 |    0.000 |
         KW202-00094  |             ulikuwa una |       1 |       1 |     108 |       0 |   -2.0129 |   0.00301 |    0.000 |
         KW202-00095  |           madawa health |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00096  |                wasiwasi |       2 |       2 |      34 |       0 |    0.0515 |   0.00095 |    0.000 |
         KW202-00097  |                 wa pili |      15 |      15 |      49 |       0 |   -0.3675 |   0.00137 |    0.000 |
         KW202-00098  |                 i swear |       1 |       1 |      81 |       0 |   -1.2597 |   0.00226 |    0.000 |
         KW202-00099  |         anataka kuniona |       2 |       2 |       3 |       0 |    0.9163 |   0.00008 |    0.000 |
         KW202-00100  |             nikakutumia |       2 |       2 |      13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00101  |                  fungua |       2 |       1 |     128 |       1 |   -3.0710 |   0.00357 |    0.500 |
         KW202-00102  |                   david |       3 |       2 |      65 |       1 |   -1.1468 |   0.00181 |    0.333 |
         KW202-00103  |                tufungue |       1 |       1 |      40 |       0 |   -0.1159 |   0.00112 |    0.000 |
         KW202-00104  |          d x wanasemaje |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00105  |                 kitaifa |       1 |       1 |      43 |       0 |   -0.1996 |   0.00120 |    0.000 |
         KW202-00106  |                  huruma |       1 |       1 |     142 |       0 |   -2.9614 |   0.00396 |    0.000 |
         KW202-00107  |           can i call it |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
